KPN,Description,Type,Cost
201867,"Alarm.com Hub V2 Power Supply Adapter - Black 5ft, US Version, 5V/2A",POINT CENTRAL,7.6
201866,Climax 700 Series Z-wave Door/Window Contact Sensor with screw design,POINT CENTRAL,24.99
201865,Aeotec Z-wave Range Extender 7 (Z-Wave Repeater),POINT CENTRAL,24.42
201863,Jasco Z-wave Plus In-Wall Switch - Toggle - White Finish,POINT CENTRAL,27.83
201862,Jasco Z-wave Plus In-Wall Switch - Paddle - White Finish,POINT CENTRAL,27.83
201861,Jasco In-Wall Smart Dimmer - Toggle - White Finish,POINT CENTRAL,32.58
201860,Jasco In-Wall Smart Dimmer - Paddle - White Finish,POINT CENTRAL,32.58
201859,Alarm.com Hub -Verizon LTE (No Image Sensor Support),POINT CENTRAL,176.34
201858,Alarm.com Hub - AT&T LTE (No Image Sensor Support),POINT CENTRAL,162.9
201844,KastleVideocom Pedestal,,1044.28
201841,"Avigilon ACC-Speaker2 IP Horn Speaker, Integrates with ACC",MISC,432
201839,AXIS P3267-LVE Dome Camera,AXIS,698.99
201827,G1104-32-40T - 32 channel rackmount cloud gateway with 30day recording and AI analytics,,4127
201793,Pendant Cap for CV169  ,,24
201790,Zebra DS9308 Handheld Scanner with USB Connection (SR00004ZZ),READERS,429.74
201782,CHECKVIDEO OUTDOOR MOBILE SENTRY HD - CMS2,CCTV,1013.48
201779,KV S1508 8MP indoor camera - no audio,CCTV,347
201775,Bosch B465-MR-120W1 Universal Alarm Communicator Kit,MISC,280.29
201772,CV4IP-8-6T CHECKVIDEO ANALYTICS GATEWAY,CCTV,821
201767,RUT240 Router with 4G LTE Antenna (includes Sim Card) for V7,COMM,249.44
201766,RUT240 Router with 4G LTE Antenna (includes Sim Card) for V6,COMM,241.47
201757,Entrust 525100-001 YMCKT Color Ribbon,PRINTER,103.84
201755,Winland EA200-12 EnviroAlert Dual Zone Temp & Humidity Sensor,SENSORS,98.18
201746,LABELWRITER DYMO 550 TURBO,MISC,126.47
201745,Elevator Nano,POWER,76.75
201743,Corner Mount,CCTV,48
201742,Pendant Mount,CCTV,71
201741,Wall Mount,CCTV,51
201740,Trendent TPE-115GI Gigagabit POE+ Injector,,21.99
201738,KastleVideoCom Flush Mount ,MISC,37.39
201737,KastleVideoCom Surface Mount Housing,MISC,37.39
201736,KastleVideoCom,,872.5
201725,RP40 Nano Spacer,BLE,71.95
201724,RP15 Nano Spacer,BLE,73.67
201723,RP10 Nano Spacer,BLE,72.25
201722,Entrust SIGMA DS1 52300-001 Single Sided ID Printer,PRINTER,1167
201705,Aiphone IX-EA Surface Mount Door Station,INTERCOM,807.91
201697,KV 2605 5MP outoor camera with connection for external horn,CCTV,541
201696,KV S1505 5MP indoor camera - no audio,CCTV,263
201671,ExpressHD 2MP 2.8-12mm Motorized Varifocal Bullet Camera,CCTV,45
201659,N1405-4 Camera,CCTV,1199
201658,Speco ASPC20 Speaker System,MISC,57.99
201656,AXIS T91L61 Wall and Pole Mount,TEST,86.87
201649,"Altronix ACM8E, Board w/ Enclosure, FAI, 8 Fused Relay Out",BOXES,149.87
201648,Windy City 775600-110DB CAT6 Direct Burial SOL UNS Black,WIRE,0.32
201646,"AXIS P3719-PLE, 15MP multidirectional, IR, 01504-001",CCTV,1240.27
201642,"AlphaTouch AT701DM 7"" Concierge Desk Station",INTERCOM,1731.1
201641,"M3058-PLVE Panoramic, 12MP Dome Camera",TEST,771.13
201638,CV169 4MP Outdoor Dome - No Audio,CCTV,510
201637,CVNVR Server - 48T,CCTV,1898.99
201636,CV4IP Server - 48T,CCTV,1568.65
201635,RUT240 Router with 4G LTE Antenna for V7,COMM,248.26
201634,RUT240 Router with 4G LTE Antenna for V6,COMM,209.94
201631,"SDC 1511TNDKVED2 Tandem DE Maglock, DPS2, Energy Saver",Locks,1237.77
201621,*Discontinued product,,322.03
201608,25 Degree Mount for CV Camera,CCTV,22.9
201607,Axiom Hub SBC kit with Flash Card*Discontinued Product,V7,0
201602,CV16X Replacement Dome Covers,CCTV,17
201599,Foinnex Ethernet Adaper,TEST,41
201596,Tripp Lite USB 2.0 U236-000-R Ethernet NIC Net Adapter 10/10,COMM,20.02
201594,SDC HDB1V Herculite Door Bracket for 1511/71/81,LOCK,112.29
201593,"SDC TJ1V Top Jamb Bracket for 1511, 1571 DE Mag",LOCK,67
201592,"SDC 1511SNDKVED Single Delayed Egress Maglock, DPS, Energy Saver",LOCK,706.28
201584,"Ubiquiti ES-24-500W. GigaBit 24P switch. 2 SFP,PoE+ ",COMM,889.74
201583,Keypad (Universal) Reader,READERS,210
201581,WALL MOUNT FOR CVN 4MP CAMERA PRODUCT LINE,CCTV,35
201580,JUNCTION BOX FOR CVN 4MP CAMERAS,CCTV,20
201579,ExpressHD 2MP 2.8-12mm Motorized Verifocal Lens Dome,CCTV,72
201561,Mullion Reader (Universal) Reader,READERS,120.7
